date,y
2020/11/1,0.0011
2020/11/2,0.0018
2020/11/3,-0.0001
2020/11/4,-0.0032
2020/11/5,-0.0046
2020/11/6,-0.0044
2020/11/7,-0.0033
2020/11/8,-0.0035
2020/11/9,-0.005
2020/11/10,-0.0056
2020/11/11,-0.0058
2020/11/12,0.0011
2020/11/13,0.0011
2020/11/14,-0.0056
2020/11/15,-0.005
2020/11/16,-0.0052
2020/11/17,-0.0053
2020/11/18,-0.0051
2020/11/19,-0.0089
2020/11/20,-0.0105
2020/11/21,-0.0111
2020/11/22,-0.0111
2020/11/23,-0.0111
2020/11/24,0.0011
2020/11/25,0.0011
2020/11/26,-0.0225
2020/11/27,-0.0221
2020/11/28,-0.0221
2020/11/29,-0.024
2020/11/30,-0.0258
2020/12/1,-0.0258
2020/12/2,-0.0258
2020/12/3,-0.0258
2020/12/4,-0.0258
2020/12/5,-0.0258
2020/12/6,-0.0258
2020/12/7,-0.0334
2020/12/8,-0.039
2020/12/9,-0.0425
2020/12/10,-0.0423
2020/12/11,-0.0392
2020/12/12,-0.0405
2020/12/13,-0.0408
2020/12/14,-0.0435
2020/12/15,-0.0435
2020/12/16,-0.0433
2020/12/17,-0.0435
2020/12/18,-0.0441
2020/12/19,-0.0427
2020/12/20,-0.0431
2020/12/21,-0.0474
2020/12/22,-0.0488
2020/12/23,-0.0414
2020/12/24,-0.0428
2020/12/25,-0.0434
2020/12/26,-0.0477
2020/12/27,-0.0462
2020/12/28,-0.0446
2020/12/29,-0.0502
2020/12/30,-0.0509
2020/12/31,-0.0521
2021/1/1,-0.0524
2021/1/2,-0.052
2021/1/3,-0.0514
2021/1/4,-0.0521
2021/1/5,-0.0511
2021/1/6,-0.0521
2021/1/7,-0.0554
2021/1/8,-0.0592
2021/1/9,-0.0597
2021/1/10,-0.0578
2021/1/11,-0.0565
2021/1/12,-0.0551
2021/1/13,-0.0542
2021/1/14,0.0011
2021/1/15,-0.0505
2021/1/16,-0.0499
2021/1/17,-0.0507
2021/1/18,-0.0511
2021/1/19,-0.0499
2021/1/20,-0.0497
2021/1/21,-0.0509
2021/1/22,-0.0502
2021/1/23,-0.0483
2021/1/24,-0.0482
2021/1/25,-0.0506
2021/1/26,-0.048
2021/1/27,-0.0473
2021/1/28,-0.046
2021/1/29,-0.0472
2021/1/30,-0.0484
2021/1/31,-0.0483
2021/2/1,-0.0477
2021/2/2,-0.0482
2021/2/3,-0.0484
2021/2/4,-0.0484
2021/2/5,-0.0479
2021/2/6,-0.0474
2021/2/7,-0.0469
2021/2/8,-0.0455
2021/2/9,-0.0448
2021/2/10,-0.0452
2021/2/11,-0.0432
2021/2/12,-0.0436
2021/2/13,-0.0434
2021/2/14,-0.0399
2021/2/15,-0.04
2021/2/16,-0.0398
2021/2/17,-0.0404
2021/2/18,-0.0436
2021/2/19,-0.0441
2021/2/20,-0.0442
2021/2/21,-0.0396
2021/2/22,-0.0373
2021/2/23,0.0011
2021/2/24,0.0011
2021/2/25,0.0011
2021/2/26,0.0011
2021/2/27,0.0011
2021/2/28,0.0011
2021/3/1,0.0011
2021/3/2,-0.0351
2021/3/3,-0.0359
2021/3/4,-0.036
2021/3/5,-0.036
2021/3/6,-0.036
2021/3/7,-0.0361
2021/3/8,-0.034
2021/3/9,-0.0331
2021/3/10,-0.0326
2021/3/11,-0.0318
2021/3/12,-0.0297
2021/3/13,-0.0297
2021/3/14,-0.0277
2021/3/15,-0.027
2021/3/16,0.0001
2021/3/17,-0.0222
2021/3/18,-0.0252
2021/3/19,-0.0255
2021/3/20,-0.0232
2021/3/21,-0.0236
2021/3/22,-0.0216
2021/3/23,-0.0204
2021/3/24,-0.0222
2021/3/25,-0.0221
2021/3/26,-0.0219
2021/3/27,-0.0186
2021/3/28,-0.0173
2021/3/29,-0.0149
2021/3/30,-0.0081
2021/3/31,-0.0079
2021/4/1,-0.0055
2021/4/2,-0.0051
2021/4/3,-0.0045
2021/4/4,-0.0037
2021/4/5,-0.0032
2021/4/6,-0.0032
2021/4/7,-0.0022
2021/4/8,0.0011
2021/4/9,0.0011
2021/4/10,0.0011
2021/4/11,0.0011
2021/4/12,0.0011
2021/4/13,0.0011
2021/4/14,0.0011
2021/4/15,0.0035
2021/4/16,0.0036
2021/4/17,0.004
2021/4/18,0.0045
2021/4/19,0.00398
2021/4/20,0.006
2021/4/21,0.0085
2021/4/22,0.0087
2021/4/23,0.00718
2021/4/24,0.0001
2021/4/25,0.0114
2021/4/26,0.0127
2021/4/27,0.00862
2021/4/28,0.0131
2021/4/29,0.01248
2021/4/30,0.01314
2021/5/1,0.01364
2021/5/2,0.01452
2021/5/3,0.0148799999999999
2021/5/4,0.01454
2021/5/5,0.01486
2021/5/6,0.01456
2021/5/7,0.0001
2021/5/8,0.0209
2021/5/9,0.0011
2021/5/10,0.0219
2021/5/11,0.023
2021/5/12,0.0001
2021/5/13,0.0219
2021/5/14,0.024
2021/5/15,0.01854
2021/5/16,0.01734
2021/5/17,0.02072
2021/5/18,0.02144
2021/5/19,0.0217199999999999
2021/5/20,0.0222799999999999
2021/5/21,0.0243799999999999
2021/5/22,0.0268999999999999
2021/5/23,0.02788
2021/5/24,0.02916
2021/5/25,0.0299
2021/5/26,0.03038
2021/5/27,0.03062
2021/5/28,0.0001
2021/5/29,0.02452
2021/5/30,0.02472
2021/5/31,0.0011
2021/6/1,0.0332
2021/6/2,0.0347
2021/6/3,0.02646
2021/6/4,0.0266
2021/6/5,0.0333
2021/6/6,0.03342
2021/6/7,0.0011
2021/6/8,0.0011
2021/6/9,0.0011
2021/6/10,0.0424
2021/6/11,0.0414
2021/6/12,0.0403
2021/6/13,0.03346
2021/6/14,0.0428599999999999
2021/6/15,0.0441
2021/6/16,0.0454399999999999
2021/6/17,0.04674
2021/6/18,0.0474
2021/6/19,0.0469
2021/6/20,0.0456
2021/6/21,0.04484
2021/6/22,0.0001
2021/6/23,0.0353399999999999
2021/6/24,0.03562
2021/6/25,0.0483
2021/6/26,0.0514
2021/6/27,0.04902
2021/6/28,0.05062
2021/6/29,0.05248
2021/6/30,0.05408
2021/7/1,0.05408
2021/7/2,0.05408
2021/7/3,0.05407
2021/7/4,0.05407
2021/7/5,0.05407
2021/7/6,0.05408
